type,name,n,n_pairs,cor,mean_bias,reg_bias
Same day during stability,fef2575,212,460,-0.09 (p = 0.05),"-14.95 [51.384, -81.284]","-26.513 [38.293, -91.318]; p = 0.05"
± 7 days,fef2575,240,770,-0.15 (p < 0.01),"-14.257 [53.978, -82.491]","-36.695 [29.462, -102.853]; p < 0.01"
Same day during PEx,fef2575,30,36,0.29 (p = 0.086),"-19.153 [33.684, -71.99]","-0.635 [49.638, -50.908]; p = 0.086"
± 7 days during PEx,fef2575,45,54,0.06 (p = 0.641),"-17.063 [35.657, -69.782]","-12.387 [39.662, -64.437]; p = 0.641"
Same day during stability,fev1,214,466,-0.11 (p = 0.021),"0.004 [0.658, -0.65]","-0.13 [0.509, -0.768]; p = 0.021"
± 7 days,fev1,244,780,-0.16 (p < 0.01),"0.024 [0.682, -0.635]","-0.194 [0.443, -0.831]; p < 0.01"
Same day during PEx,fev1,30,36,-0.1 (p = 0.548),"-0.061 [0.462, -0.585]","-0.111 [0.406, -0.629]; p = 0.549"
± 7 days during PEx,fev1,45,54,-0.1 (p = 0.493),"-0.045 [0.485, -0.575]","-0.099 [0.423, -0.621]; p = 0.493"
Same day during stability,fev1_fvc,212,460,-0.2 (p < 0.01),"-4.982 [16.76, -26.724]","-9.36 [11.529, -30.25]; p < 0.01"
± 7 days,fev1_fvc,240,770,-0.14 (p < 0.01),"-5.189 [15.521, -25.899]","-7.774 [12.326, -27.873]; p < 0.01"
Same day during PEx,fev1_fvc,30,36,-0.03 (p = 0.873),"-8.661 [11.831, -29.152]","-9.181 [11.186, -29.548]; p = 0.873"
± 7 days during PEx,fev1_fvc,45,54,-0.32 (p = 0.017),"-6.482 [11.923, -24.887]","-10.713 [6.521, -27.948]; p = 0.017"
Same day during stability,fev1pp,213,464,-0.04 (p = 0.381),"-0.34 [35.292, -35.971]","-3.263 [31.664, -38.19]; p = 0.381"
± 7 days,fev1pp,243,778,-0.12 (p < 0.01),"0.226 [34.263, -33.812]","-7.845 [25.275, -40.964]; p < 0.01"
Same day during PEx,fev1pp,30,36,-0.06 (p = 0.712),"-1.672 [25.116, -28.459]","-3.438 [23.143, -30.02]; p = 0.712"
± 7 days during PEx,fev1pp,45,54,0.03 (p = 0.803),"-2.533 [23.864, -28.93]","-1.483 [24.617, -27.584]; p = 0.803"
Same day during stability,fvc,214,466,0.02 (p = 0.666),"0.09 [1, -0.82]","0.119 [1.011, -0.774]; p = 0.666"
± 7 days,fvc,244,780,-0.09 (p = 0.016),"0.122 [1.048, -0.805]","-0.009 [0.897, -0.914]; p = 0.016"
Same day during PEx,fvc,30,36,-0.13 (p = 0.445),"0.064 [0.965, -0.838]","-0.038 [0.851, -0.926]; p = 0.445"
± 7 days during PEx,fvc,45,54,-0.03 (p = 0.804),"0.052 [0.887, -0.783]","0.023 [0.849, -0.802]; p = 0.804"
Same day during stability,fvcpp,213,464,0.11 (p = 0.015),"1.927 [43.815, -39.96]","18.388 [59.218, -22.442]; p = 0.015"
± 7 days,fvcpp,243,778,-0.05 (p = 0.13),"2.662 [42.348, -37.024]","-3.247 [35.613, -42.107]; p = 0.13"
Same day during PEx,fvcpp,30,36,-0.17 (p = 0.328),"2.385 [35.835, -31.066]","-2.588 [30.2, -35.376]; p = 0.328"
± 7 days during PEx,fvcpp,45,54,0.03 (p = 0.845),"0.147 [32.628, -32.335]","1.025 [33.15, -31.099]; p = 0.845"
Same day during stability,pef,214,466,-0.11 (p = 0.016),"-13.979 [110.054, -138.012]","-38.57 [82.351, -159.49]; p = 0.016"
± 7 days,pef,244,780,-0.15 (p < 0.01),"-12.649 [112.344, -137.642]","-47.921 [73.262, -169.103]; p < 0.01"
Same day during PEx,pef,30,36,0.05 (p = 0.781),"-21.8 [94.628, -138.228]","-16.607 [99.024, -132.239]; p = 0.781"
± 7 days during PEx,pef,45,54,-0.04 (p = 0.775),"-18.939 [100.198, -138.076]","-24.002 [93.775, -141.78]; p = 0.775"
