type,tmpt,name,bias,hi,lo
same_day_all,same_day,fev1,-8e-4,0.6453,-0.647
same_day_all,same_day,fev1pp,-0.4354,34.6187,-35.4894
same_day_all,same_day,fvc,0.0879,0.9967,-0.8208
same_day_all,same_day,fvcpp,1.9602,43.2701,-39.3496
same_day_all,same_day,fev1_fvc,-5.2493,16.4688,-26.9674
same_day_all,same_day,fef2575,-15.2552,50.1845,-80.6949
same_day_all,same_day,pef,-14.5398,108.9184,-137.9981
same_day_stable,same_day,fev1,0.0038,0.658,-0.6504
same_day_stable,same_day,fev1pp,-0.3395,35.2916,-35.9705
same_day_stable,same_day,fvc,0.0898,1,-0.8203
same_day_stable,same_day,fvcpp,1.9273,43.8146,-39.96
same_day_stable,same_day,fev1_fvc,-4.9823,16.7597,-26.7243
same_day_stable,same_day,fef2575,-14.9501,51.3839,-81.2842
same_day_stable,same_day,pef,-13.979,110.0535,-138.0115
same_week_all,same_week,fev1,0.0236,0.6818,-0.6346
same_week_all,same_week,fev1pp,0.2256,34.2631,-33.8119
same_week_all,same_week,fvc,0.1216,1.0482,-0.805
same_week_all,same_week,fvcpp,2.6623,42.3484,-37.0238
same_week_all,same_week,fev1_fvc,-5.1893,15.5206,-25.8992
same_week_all,same_week,fef2575,-14.2567,53.9778,-82.4913
same_week_all,same_week,pef,-12.649,112.3437,-137.6416
same_week_stable,same_week,fev1,0.0329,0.701,-0.6352
same_week_stable,same_week,fev1pp,0.5328,35.1124,-34.0468
same_week_stable,same_week,fvc,0.133,1.067,-0.801
same_week_stable,same_week,fvcpp,2.9653,43.2256,-37.2949
same_week_stable,same_week,fev1_fvc,-5.0821,15.7648,-25.9289
same_week_stable,same_week,fef2575,-13.9096,55.3735,-83.1926
same_week_stable,same_week,pef,-11.4982,114.6543,-137.6507
same_day_pex,same_day,fev1,-0.0612,0.4623,-0.5847
same_day_pex,same_day,fev1pp,-1.6715,25.1163,-28.4593
same_day_pex,same_day,fvc,0.0637,0.9652,-0.8379
same_day_pex,same_day,fvcpp,2.3847,35.8354,-31.066
same_day_pex,same_day,fev1_fvc,-8.6606,11.8306,-29.1518
same_day_pex,same_day,fef2575,-19.153,33.6837,-71.9897
same_day_pex,same_day,pef,-21.8,94.6283,-138.2283
same_week_pex,same_week,fev1,-0.0451,0.4848,-0.5751
same_week_pex,same_week,fev1pp,-2.5326,23.8643,-28.9295
same_week_pex,same_week,fvc,0.0521,0.8869,-0.7827
same_week_pex,same_week,fvcpp,0.1467,32.628,-32.3346
same_week_pex,same_week,fev1_fvc,-6.4823,11.9229,-24.8874
same_week_pex,same_week,fef2575,-17.0629,35.6566,-69.7824
same_week_pex,same_week,pef,-18.9389,100.1979,-138.0757
