week_num,n,mean,sd,se,lo,hi
0,247,0,0,0,0,0
1,200,-14.084827586206897,75.31293725648491,5.3254288645137455,-24.522668160653836,-3.646987011759956
2,174,-27.410769230769233,89.4351284938196,6.780059593839248,-40.69968603469416,-14.121852426844308
3,163,-29.442424242424245,78.94850955787588,6.183724512218042,-41.562524286371605,-17.322324198476885
4,162,-27.169387755102044,72.40869174939155,5.688964105871243,-38.31975740260968,-16.019018107594405
5,161,-17.449462365591398,72.01561820891462,5.675625812218767,-28.57368895754018,-6.325235773642614
6,151,-33.93225806451613,84.51435067398745,6.877680317902954,-47.41251148760592,-20.452004641426335
7,156,-31.242718446601945,80.8718928874814,6.474933451397576,-43.93358801134119,-18.551848881862696
8,135,-23.45176470588235,66.13856236245651,5.692301123819884,-34.60867490856932,-12.29485450319538
9,129,-22.25125,68.72027871944701,6.05048316814866,-34.11019700957137,-10.392302990428625
10,132,-26.296153846153846,60.91620056691398,5.3020747022077686,-36.688220262481074,-15.90408742982662
11,135,-7.904761904761902,77.5686154158561,6.676043459866191,-20.98980708609964,5.180283276575833
12,125,-22.370129870129865,82.20195935834701,7.352366760357556,-36.78076872043067,-7.959491019829056
13,120,-16.292105263157897,84.88904721365475,7.749274340673296,-31.480682970877556,-1.1035275554382373
14,135,-18.24473684210526,76.84326454064245,6.613615196313759,-31.20742262688023,-5.282051057330294
15,122,-11.425333333333336,68.84259384950518,6.232715593667049,-23.641455896920753,0.7907892302540791
16,118,-17.565753424657533,76.4670157998025,7.0393593851728244,-31.36289781959627,-3.7686090297187977
17,119,-22.544303797468356,84.69698288277444,7.764159691146347,-37.762056792115196,-7.326550802821517
18,115,-30.460810810810813,62.479879101069535,5.8262787680020836,-41.88031719609489,-19.04130442552673
19,104,-26.27096774193548,82.49298308380244,8.089102509207466,-42.12560865998211,-10.416326823888847
20,114,-17.72571428571429,73.65804202719146,6.898707707155563,-31.247181391739193,-4.204247179689386
21,105,-24.184507042253518,73.18978782763017,7.142591928007195,-38.18398722114762,-10.185026863359417
22,104,-11.1,74.95338038253666,7.349783638082637,-25.505575930641967,3.305575930641968
23,111,-26.80555555555555,72.42639758605038,6.874409437234922,-40.279398052535996,-13.331713058575103
24,114,-10.02972972972973,75.49454616921554,7.07071207938864,-23.888325405331464,3.8288659458720034
25,124,-27.926506024096387,72.15206348035048,6.479446576621692,-40.6262213142749,-15.226790733917872
26,102,-20.96666666666667,67.00829252865375,6.634809620630876,-33.970893523103186,-7.962439810230151
27,104,-34.725,58.94491831805679,5.780024783286623,-46.05384857524179,-23.39615142475822
28,105,-22.462857142857146,60.676959243379805,5.921464895190953,-34.068928337431416,-10.856785948282878
29,107,-25.613235294117647,63.825889344142134,6.1702816174773,-37.706987264373154,-13.51948332386214
30,105,-27.76,76.02002573335528,7.418794865873079,-42.30083793711124,-13.219162062888767
31,110,-13.957142857142863,84.30378225123327,8.038050250845748,-29.71172134880053,1.7974356345148035
32,97,-31.26,71.95413209121489,7.305835208433291,-45.579437008529254,-16.94056299147075
33,98,-25.30769230769231,65.34769818940715,6.601114360665953,-38.24587645459758,-12.369508160787042
34,109,-17.49850746268657,77.73357469010554,7.44552610823847,-32.09173863483397,-2.905276290539172
35,98,-19.4536231884058,66.46767807984955,6.714249414283723,-32.6135520404019,-6.293694336409704
36,100,-27.683870967741942,64.09665650354859,6.409665650354858,-40.24681564243747,-15.12092629304642
37,98,-22.277049180327868,64.14217383657086,6.47933801141223,-34.97655168269584,-9.577546677959898
38,100,-19.509375,57.362201256023184,5.736220125602318,-30.75236644618054,-8.266383553819455
39,87,-13.615094339622644,78.59060277604738,8.425797035665838,-30.129656529527686,2.8994678502823987
40,93,-17.14833333333333,93.39710279625628,9.684828402748968,-36.1305970027213,1.833930336054646
41,94,-20.6031746031746,84.48395145988067,8.713854250361752,-37.68232893388364,-3.5240202724655667
42,93,-7.596969696969691,75.6290928345943,7.842371598575722,-22.968018030178108,7.774078636238724
43,92,-18.326153846153844,82.76221261263174,8.628557134494976,-35.238125829763995,-1.4141818625436926
44,91,-41.85932203389831,94.31742465014555,9.887152609940967,-61.2381411493826,-22.480502918414015
45,96,-21.09264705882353,87.61699609567083,8.942372217909146,-38.619696605925455,-3.565597511721606
46,93,-22.73896103896104,91.78800396887692,9.517972627144992,-41.39418738816522,-4.083734689756856
47,94,-34.60735294117647,99.68685345168365,10.281913862275324,-54.75990411123611,-14.454801771116838
48,74,-21.400000000000006,82.27492809540126,9.564266118907913,-40.14596159305951,-2.654038406940497
49,95,-13.733333333333341,84.00876044190817,8.619116959890542,-30.626802574718802,3.160135908052119
50,82,-15.940000000000007,87.42538032516644,9.654518166981994,-34.862855607284715,2.9828556072846997
51,72,-10.837931034482763,88.59245310138712,10.440720724990337,-31.301743655463824,9.625881586498297
52,47,-22.909090909090914,101.63714944837612,14.825301940157622,-51.96668271179985,6.148500893618024
